text_id,GPEs,neg,neu,pos,compound
401,['Iowa'],0.0,0.886,0.114,0.2023
402,['Cleveland'],0.0,0.471,0.529,0.5423
404,,0.0,0.629,0.371,0.6486
405,,0.0,1.0,0.0,0.0
406,,0.252,0.748,0.0,-0.4019
407,,0.171,0.488,0.341,0.34
408,,0.0,0.488,0.512,0.6369
410,"['West Virginia', 'Nebraska']",0.0,0.617,0.383,0.7351
411,,0.0,1.0,0.0,0.0
413,,0.0,1.0,0.0,0.0
414,"['US', 'Paris']",0.527,0.473,0.0,-0.836
418,,0.0,0.777,0.223,0.3774
420,['Syria'],0.328,0.672,0.0,-0.5994
421,['Illinois'],0.208,0.628,0.164,-0.2263
422,,0.0,0.783,0.217,0.4168
427,,0.0,1.0,0.0,0.0
428,,0.0,0.87,0.13,0.128
430,,0.426,0.574,0.0,-0.6369
431,['Iran'],0.118,0.709,0.173,0.1779
432,,0.273,0.727,0.0,-0.4588
433,['Kentucky'],0.0,0.647,0.353,0.7184
434,,0.0,0.614,0.386,0.4847
435,['Florida'],0.418,0.582,0.0,-0.836
438,,0.0,0.739,0.261,0.3566
440,,0.2,0.8,0.0,-0.3612
441,['Paris'],0.0,1.0,0.0,0.0
442,,0.273,0.727,0.0,-0.5423
447,,0.0,1.0,0.0,0.0
450,,0.241,0.668,0.091,-0.3535
453,,0.0,1.0,0.0,0.0
455,['Rubio'],0.244,0.756,0.0,-0.4404
463,,0.0,0.69,0.31,0.4019
465,"['Putin', 'US']",0.0,1.0,0.0,0.0
467,,0.0,1.0,0.0,0.0
468,,0.231,0.769,0.0,-0.2023
470,,0.0,1.0,0.0,0.0
472,['America'],0.0,0.469,0.531,0.7783
473,,0.184,0.816,0.0,-0.4019
474,['Iraq'],0.0,1.0,0.0,0.0
475,,0.0,0.654,0.346,0.5719
476,,0.268,0.732,0.0,-0.5106
478,,0.245,0.755,0.0,-0.0772
481,,0.0,1.0,0.0,0.0
483,,0.0,1.0,0.0,0.0
484,,0.227,0.584,0.188,-0.1531
485,,0.0,1.0,0.0,0.0
486,,0.0,1.0,0.0,0.0
488,,0.34,0.66,0.0,-0.5574
489,,0.44,0.56,0.0,-0.6705
491,,0.115,0.67,0.215,0.2732
496,"['Iran', 'Israel']",0.327,0.673,0.0,-0.5267
499,,0.0,1.0,0.0,0.0
500,,0.208,0.538,0.254,0.1531
503,,0.0,1.0,0.0,0.0
506,,0.0,0.784,0.216,0.5106
511,,0.0,0.849,0.151,0.5499
512,,0.0,0.722,0.278,0.1779
513,,0.148,0.852,0.0,-0.3818
515,,0.196,0.374,0.43,0.3612
516,,0.189,0.811,0.0,-0.1027
518,['Raid'],0.451,0.549,0.0,-0.8126
520,,0.239,0.761,0.0,-0.296
521,,0.231,0.769,0.0,-0.4588
523,,0.381,0.361,0.258,-0.5267
526,,0.0,1.0,0.0,0.0
528,,0.0,1.0,0.0,0.0
529,,0.236,0.764,0.0,-0.4168
531,,0.0,1.0,0.0,0.0
534,,0.271,0.729,0.0,-0.3818
535,,0.227,0.773,0.0,-0.6249
538,,0.0,0.69,0.31,0.4019
539,,0.092,0.75,0.158,0.2023
544,,0.0,1.0,0.0,0.0
545,,0.0,1.0,0.0,0.0
548,,0.31,0.69,0.0,-0.4019
550,,0.0,0.724,0.276,0.6369
551,,0.609,0.391,0.0,-0.7783
552,,0.211,0.789,0.0,-0.4939
554,,0.265,0.735,0.0,-0.2023
555,['Afghanistan'],0.0,1.0,0.0,0.0
556,,0.0,1.0,0.0,0.0
